team,team_city,team_nick,team_name,team_twitter,team_coach,team_div,official_logo_url,team_color_1,team_color_2,team_color_3,full_logo,basic_logo,full_wordmark,name_wordmark
MICH,Michigan,Panthers,Michigan Panthers,@USFLPanthers,Jeff Fisher,North,https://www.usfl2.com/images/Logos_USFL_Panthers.png,#702E3E,#B2A77E,#4197CB,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/MI.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/MI.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/MI.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/MI.png
NJ,New Jersey,Generals,New Jersey Generals,@USFLGenerals,Mike Riley,North,https://www.usfl2.com/images/Logos_USFL_Generals.png,#C10230,#F0D283,#011E41,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/NJ.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/NJ.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/NJ.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/NJ.png
PHI,Philadelphia,Stars,Philadelphia Stars,@USFLStars,Bart Andrus,North,https://www.usfl2.com/images/Logos_USFL_Stars.png,#C10230,#FFB71B,#FF6B00,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/PHI.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/PHI.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/PHI.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/PHI.png
PIT,Pittsburgh,Maulers,Pittsburgh Maulers,@USFLMaulers,Kirby Wilson,North,https://www.usfl2.com/images/Logos_USFL_Maulers.png,#31006F,#FF4D00,#FFFFFF,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/PIT.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/PIT.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/PIT.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/PIT.png
BHAM,Birmingham,Stallions,Birmingham Stallions,@USFLStallions,Skip Holtz,South,https://www.usfl2.com/images/Logos_USFL_Stallions.png,#A32035,#C6B784,#FFFFFF,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/BIR.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/BIR.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/BIR.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/BIR.png
HOU,Houston,Gamblers,Houston Gamblers,@USFLGamblers,Kevin Sumlin,South,https://www.usfl2.com/images/Logos_USFL_Gamblers.png,#000000,#FFB71B,#FFB71B,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/HOU.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/HOU.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/HOU.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/HOU.png
NO,New Orleans,Breakers,New Orleans Breakers,@USFLBreakers,Larry Fedora,South,https://www.usfl2.com/images/Logos_USFL_Breakers.png,#003595,#4197CB,#C1C5C8,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/NO.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/NO.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/NO.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/NO.png
TB,Tampa Bay,Bandits,Tampa Bay Bandits,@USFLBandits,Todd Haley,South,https://www.usfl2.com/images/Logos_USFL_Bandits.png,#C10230,#A2A9AD,#000000,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-logo/TB.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/basic-logo/TB.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/full-wordmark/TB.png,https://raw.githubusercontent.com/ajreinhard/USFL/master/logos/name-wordmark/TB.png
