season,fbdb_id,player,usfl_team,league,team_name,appearance
2017,matt-seybert-seybema01,Matt Seybert,PIT,FBS,Michigan State,1
2018,matt-seybert-seybema01,Matt Seybert,PIT,FBS,Michigan State,1
2019,matt-seybert-seybema01,Matt Seybert,PIT,FBS,Michigan State,1
2021,matt-seybert-seybema01,Matt Seybert,PIT,NFL,LA Chargers,0
2016,cary-angeline-angelca01,Cary Angeline,BIR,FBS,USC,0
2017,cary-angeline-angelca01,Cary Angeline,BIR,FBS,USC,1
2018,cary-angeline-angelca01,Cary Angeline,BIR,FBS,North Carolina State,1
2019,cary-angeline-angelca01,Cary Angeline,BIR,FBS,North Carolina State,1
2020,cary-angeline-angelca01,Cary Angeline,BIR,FBS,North Carolina State,1
2021,cary-angeline-angelca01,Cary Angeline,BIR,NFL,Philadelphia,0
2021,cary-angeline-angelca01,Cary Angeline,BIR,NFL,Arizona,0
2013,bug-howard-howarbu01,Bug Howard,PHI,FBS,North Carolina,1
2014,bug-howard-howarbu01,Bug Howard,PHI,FBS,North Carolina,1
2015,bug-howard-howarbu01,Bug Howard,PHI,FBS,North Carolina,1
2016,bug-howard-howarbu01,Bug Howard,PHI,FBS,North Carolina,1
2017,bug-howard-howarbu01,Bug Howard,PHI,NFL,Cleveland,0
2017,bug-howard-howarbu01,Bug Howard,PHI,NFL,Indianapolis,0
2018,bug-howard-howarbu01,Bug Howard,PHI,NFL,Carolina,0
2018,bug-howard-howarbu01,Bug Howard,PHI,NFL,Cleveland,0
2019,bug-howard-howarbu01,Bug Howard,PHI,NFL,Denver,0
2019,bug-howard-howarbu01,Bug Howard,PHI,AAF,Atlanta,1
2020,bug-howard-howarbu01,Bug Howard,PHI,NFL,Jacksonville,0
2020,bug-howard-howarbu01,Bug Howard,PHI,NFL,Denver,0
2021,bug-howard-howarbu01,Bug Howard,PHI,NFL,Buffalo,0
2015,cj-ogrady-ogradcj01,C.J. O'Grady,TB,FBS,Arkansas,0
2016,cj-ogrady-ogradcj01,C.J. O'Grady,TB,FBS,Arkansas,1
2017,cj-ogrady-ogradcj01,C.J. O'Grady,TB,FBS,Arkansas,1
2018,cj-ogrady-ogradcj01,C.J. O'Grady,TB,FBS,Arkansas,1
2019,cj-ogrady-ogradcj01,C.J. O'Grady,TB,FBS,Arkansas,1
2021,cj-ogrady-ogradcj01,C.J. O'Grady,TB,NFL,Cincinnati,0
2015,joey-magnifico-magni0001,Joey Magnifico,MI,FBS,Memphis,0
2016,joey-magnifico-magni0001,Joey Magnifico,MI,FBS,Memphis,1
2017,joey-magnifico-magni0001,Joey Magnifico,MI,FBS,Memphis,1
2018,joey-magnifico-magni0001,Joey Magnifico,MI,FBS,Memphis,1
2019,joey-magnifico-magni0001,Joey Magnifico,MI,FBS,Memphis,1
2012,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NJCAA,Scottsdale CC (AZ),1
2013,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NJCAA,Scottsdale CC (AZ),1
2014,braedon-bowman-bowmabr02,Braedon Bowman,NJ,FBS,South Alabama,1
2015,braedon-bowman-bowmabr02,Braedon Bowman,NJ,FBS,South Alabama,1
2016,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NFL,NY Jets,1
2016,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NFL,Jacksonville,0
2017,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NFL,LA Chargers,0
2017,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NFL,New Orleans,0
2017,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NFL,NY Jets,0
2018,braedon-bowman-bowmabr02,Braedon Bowman,NJ,NFL,LA Chargers,0
2019,braedon-bowman-bowmabr02,Braedon Bowman,NJ,AAF,Birmingham,1
2013,julian-allen-allenju01,Julian Allen,HOU,NJCAA,Lackawanna JC (PA),1
2014,julian-allen-allenju01,Julian Allen,HOU,NJCAA,Lackawanna JC (PA),1
2015,julian-allen-allenju01,Julian Allen,HOU,FBS,Southern Mississippi,0
2016,julian-allen-allenju01,Julian Allen,HOU,FBS,Southern Mississippi,1
2017,julian-allen-allenju01,Julian Allen,HOU,FBS,Southern Mississippi,1
2018,julian-allen-allenju01,Julian Allen,HOU,NFL,Cleveland,0
2020,julian-allen-allenju01,Julian Allen,HOU,XFL,Houston,0
2020,julian-allen-allenju01,Julian Allen,HOU,XFL,Dallas,1
2013,dequan-hampton-hamptde01,De'Quan Hampton,TB,CCCAA,Long Beach CC (CA),1
2014,dequan-hampton-hamptde01,De'Quan Hampton,TB,CCCAA,Long Beach CC (CA),1
2015,dequan-hampton-hamptde01,De'Quan Hampton,TB,FBS,USC,1
2016,dequan-hampton-hamptde01,De'Quan Hampton,TB,FBS,USC,1
2017,dequan-hampton-hamptde01,De'Quan Hampton,TB,NFL,New Orleans,0
2020,dequan-hampton-hamptde01,De'Quan Hampton,TB,XFL,Los Angeles,1
2021,dequan-hampton-hamptde01,De'Quan Hampton,TB,NFL,Seattle,0
2021,dequan-hampton-hamptde01,De'Quan Hampton,TB,NFL,Tampa Bay,0
2015,lamichael-pettway-pettw0006,La'Michael Pettway,MI,FBS,Arkansas,0
2016,lamichael-pettway-pettw0006,La'Michael Pettway,MI,FBS,Arkansas,1
2017,lamichael-pettway-pettw0006,La'Michael Pettway,MI,FBS,Arkansas,1
2018,lamichael-pettway-pettw0006,La'Michael Pettway,MI,FBS,Arkansas,1
2019,lamichael-pettway-pettw0006,La'Michael Pettway,MI,FBS,Iowa State,1
2016,nick-truesdell-truesni01,Nick Truesdell,NJ,NFL,Indianapolis,0
2017,nick-truesdell-truesni01,Nick Truesdell,NJ,NFL,Minnesota,0
2018,nick-truesdell-truesni01,Nick Truesdell,NJ,CFL,Calgary,0
2019,nick-truesdell-truesni01,Nick Truesdell,NJ,NFL,NY Jets,0
2019,nick-truesdell-truesni01,Nick Truesdell,NJ,AAF,Salt Lake,1
2020,nick-truesdell-truesni01,Nick Truesdell,NJ,XFL,Tampa Bay,1
2015,scott-flanick-flani0002,Scott Flanick,NJ,FBS,Army,0
2016,scott-flanick-flani0002,Scott Flanick,NJ,FBS,Army,1
2017,scott-flanick-flani0002,Scott Flanick,NJ,FBS,Army,1
2018,scott-flanick-flani0002,Scott Flanick,NJ,FBS,Army,1
2019,scott-flanick-flani0002,Scott Flanick,NJ,FBS,Army,1
2012,ryan-disalvo-disalry01,Ryan DiSalvo,TB,FBS,San Jose State,1
2013,ryan-disalvo-disalry01,Ryan DiSalvo,TB,FBS,San Jose State,1
2014,ryan-disalvo-disalry01,Ryan DiSalvo,TB,FBS,San Jose State,1
2015,ryan-disalvo-disalry01,Ryan DiSalvo,TB,FBS,San Jose State,1
2016,ryan-disalvo-disalry01,Ryan DiSalvo,TB,NFL,Miami,0
2017,ryan-disalvo-disalry01,Ryan DiSalvo,TB,NFL,Tennessee,0
2019,ryan-disalvo-disalry01,Ryan DiSalvo,TB,AAF,San Diego,1
2021,ryan-disalvo-disalry01,Ryan DiSalvo,TB,TSL,Conquerors,1
2013,ryan-navarro-navarry01,Ryan Navarro,PHI,CCCAA,Riverside CC (CA),1
2014,ryan-navarro-navarry01,Ryan Navarro,PHI,CCCAA,Riverside CC (CA),1
2015,ryan-navarro-navarry01,Ryan Navarro,PHI,FBS,Oregon State,1
2016,ryan-navarro-navarry01,Ryan Navarro,PHI,FBS,Oregon State,1
2019,ryan-navarro-navarry01,Ryan Navarro,PHI,AAF,Memphis,1
2020,ryan-navarro-navarry01,Ryan Navarro,PHI,XFL,Los Angeles,1
2014,mitchell-fraboni-frabomi01,MItchell Fraboni,PIT,FBS,Arizona State,1
2015,mitchell-fraboni-frabomi01,MItchell Fraboni,PIT,FBS,Arizona State,1
2016,mitchell-fraboni-frabomi01,MItchell Fraboni,PIT,FBS,Arizona State,1
2017,mitchell-fraboni-frabomi01,MItchell Fraboni,PIT,FBS,Arizona State,1
2021,mitchell-fraboni-frabomi01,MItchell Fraboni,PIT,NFL,Houston,0
